,min_samples_leaf_options,ROC
0,1,0.839497338363
1,2,0.856946209955
2,3,0.867579942938
3,4,0.873599729884
4,5,0.878005809236
5,6,0.880540003538
6,7,0.883227008577
7,8,0.884420759125
8,9,0.885652740032
9,10,0.886732669216
10,15,0.888560037009
11,20,0.888629576623
